ID_Cliente,Nombre,Apellido,Edad,genero,pais,ingresos_anuales,fecha_registro
1,Feliciana,Cabrera,56,Mujer,España,32581,2021-11-15
2,Dani,Cueto,69,Hombre,España,45600,2022-01-16
3,Amador,Julián,46,Hombre,España,60284,2021-03-14
4,Manuela,Velasco,32,Hombre,España,50171,2022-02-28
5,Leonardo,Batalla,60,Mujer,España,55091,2021-11-04
6,Jose Ignacio,Ortiz,25,Mujer,España,44333,2025-10-18
7,Jacinto,Rivero,78,Mujer,España,60535,2021-05-27
8,Emilio,Morillo,38,Hombre,España,53487,2023-10-22
9,Maite,Santana,56,Mujer,España,40404,2021-01-05
10,Cristian,Amorós,75,Mujer,España,73934,2023-10-13
11,Inmaculada,Azorin,36,Mujer,España,63700,2024-12-12
12,Manu,Espejo,40,Hombre,España,48047,2024-01-11
13,Tecla,Salcedo,28,Hombre,España,71516,2023-02-16
14,Caridad,Cerdán,28,Mujer,España,45577,2023-03-21
15,Chucho,Acero,41,Mujer,España,54298,2025-08-08
16,Dominga,Pérez,70,Mujer,España,45015,2024-09-10
17,Telmo,Folch,53,Hombre,España,55568,2023-03-25
18,Amílcar,Mayoral,57,Hombre,España,78876,2024-11-23
19,Amor,Mir,41,Hombre,España,56204,2020-11-14
20,Ciro,Blanca,20,Mujer,España,61748,2021-03-28
21,Isaías,Cano,39,Hombre,España,56267,2020-10-27
22,Joan,Cruz,70,Mujer,España,51236,2022-01-02
23,Anselma,Iborra,19,Mujer,España,62615,2024-05-23
24,Eligia,Villalonga,41,Hombre,España,31104,2025-08-02
25,Amando,Castillo,61,Mujer,España,47654,2024-10-05
26,Chelo,Reguera,47,Hombre,España,75704,2024-03-06
27,Heliodoro,Montenegro,55,Mujer,España,72369,2023-06-02
28,Lilia,Sanmiguel,19,Mujer,España,33646,2023-06-11
29,Florentina,Tejera,77,Hombre,España,51471,2025-06-12
30,Judith,Cañellas,38,Mujer,España,55906,2024-07-07
31,Caridad,Juliá,50,Mujer,España,51107,2025-01-13
32,Simón,Durán,29,Mujer,España,77728,2024-03-22
33,Isidro,Morán,75,Mujer,España,44878,2023-05-07
34,Vidal,Luján,39,Mujer,España,39145,2025-09-06
35,Dolores,Fiol,78,Mujer,España,53042,2024-08-15
36,Leopoldo,Blasco,61,Mujer,España,48226,2024-08-22
37,Nydia,Ribas,42,Mujer,España,32802,2023-06-12
38,Ruth,Pedrero,66,Hombre,España,54119,2021-07-27
39,Adolfo,Espada,44,Hombre,España,79133,2024-05-20
40,Martina,Pozuelo,76,Mujer,España,57185,2022-07-11
41,Noelia,Pi,59,Mujer,España,36105,2024-02-04
42,Feliciano,Gomez,45,Hombre,España,32749,2023-10-08
43,José,Almansa,77,Mujer,España,79742,2024-06-10
44,Telmo,Alvarado,33,Hombre,España,72949,2021-02-05
45,Noé,Granados,32,Hombre,España,64129,2022-12-31
46,Leopoldo,Borrell,79,Hombre,España,54512,2023-08-17
47,Fabricio,Sevillano,79,Mujer,España,66541,2021-02-03
48,Ildefonso,Fiol,64,Mujer,España,43495,2021-01-03
49,María Carmen,Juárez,79,Mujer,España,32064,2024-04-09
50,Nicodemo,Domingo,68,Hombre,España,60078,2022-11-21
51,Cristian,Ayala,61,Hombre,España,60011,2023-10-25
52,Cirino,Quero,72,Hombre,España,35616,2023-06-28
53,Ricardo,Romeu,69,Mujer,España,37975,2022-09-09
54,Cleto,Juan,74,Hombre,España,40960,2024-10-24
55,Plinio,Company,20,Hombre,España,57992,2022-07-04
56,Rebeca,Borrell,54,Mujer,España,51387,2021-02-17
57,Omar,Pedro,68,Hombre,España,45324,2024-02-05
58,Elisabet,Domínguez,24,Hombre,España,36243,2023-02-17
59,Juan Luis,Carpio,38,Mujer,España,62628,2025-08-14
60,Noemí,Alcalá,26,Mujer,España,39560,2024-06-10
61,Armando,Zaragoza,56,Hombre,España,77452,2022-05-26
62,Luna,Rozas,35,Mujer,España,71098,2024-10-05
63,Ángel,Santiago,21,Hombre,España,34923,2024-07-26
64,Brunilda,Urrutia,42,Mujer,España,69235,2021-06-26
